country,date,active_players,rating_count,rating_mean,rating_std,rating_median,rating_p10,rating_p90,rating_players,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_p10,accuracy_p90,accuracy_players,win_count,loss_count,win_percentage,loss_percentage
FR,2007-12-02,7,7,1809.0,0.0,1809.0,1809.0,1809.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-12-06,7,7,1830.0,0.0,1830.0,1830.0,1830.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-12-10,7,7,1788.0,0.0,1788.0,1788.0,1788.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2007-12-11,7,7,1757.0,0.0,1757.0,1757.0,1757.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2007-12-15,7,7,1781.0,0.0,1781.0,1781.0,1781.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-12-16,7,14,1807.0,4.0,1807.0,1803.8,1810.2,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2007-12-17,7,14,1789.0,0.0,1789.0,1789.0,1789.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,14,0.0,100.0
FR,2007-12-18,7,7,1800.0,0.0,1800.0,1800.0,1800.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
FR,2007-12-21,7,14,1793.5,8.5,1793.5,1786.7,1800.3,7,0,0.0,0.0,0.0,0.0,0.0,0,7,7,50.0,50.0
FR,2007-12-25,7,7,1825.0,0.0,1825.0,1825.0,1825.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-01-01,7,7,1836.0,0.0,1836.0,1836.0,1836.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
FR,2008-01-03,7,7,1856.0,0.0,1856.0,1856.0,1856.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-01-06,7,14,1861.0,0.0,1861.0,1861.0,1861.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-01-07,7,7,1878.0,0.0,1878.0,1878.0,1878.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-01-08,7,7,1878.0,0.0,1878.0,1878.0,1878.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-01-09,7,7,1857.0,0.0,1857.0,1857.0,1857.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2008-01-12,7,21,1843.0,7.071067811865476,1838.0,1838.0,1850.0,7,0,0.0,0.0,0.0,0.0,0.0,0,14,7,66.66666666666666,33.33333333333333
FR,2008-01-13,7,7,1833.0,0.0,1833.0,1833.0,1833.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2008-01-15,1,1,1361.0,0.0,1361.0,1361.0,1361.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
FR,2008-01-17,1,1,1421.0,0.0,1421.0,1421.0,1421.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
FR,2008-01-18,7,7,1817.0,0.0,1817.0,1817.0,1817.0,7,0,0.0,0.0,0.0,0.0,0.0,0,0,7,0.0,100.0
FR,2008-01-22,7,7,1826.0,0.0,1826.0,1826.0,1826.0,7,0,0.0,0.0,0.0,0.0,0.0,0,7,0,100.0,0.0
FR,2008-01-23,7,14,1786.5,16.5,1786.5,1773.3,1799.7,7,0,0.0,0.0,0.0,0.0,0.0,0,0,14,0.0,100.0
FR,2008-01-27,1,2,1164.0,33.0,1164.0,1137.6,1190.4,1,0,0.0,0.0,0.0,0.0,0.0,0,1,1,50.0,50.0
FR,2008-01-28,7,14,1774.5,4.5,1774.5,1770.9,1778.1,7,0,0.0,0.0,0.0,0.0,0.0,0,14,0,100.0,0.0
FR,2008-01-29,1,3,1131.3333333333333,51.31817958146563,1139.0,1079.8,1179.8,1,0,0.0,0.0,0.0,0.0,0.0,0,2,1,66.66666666666666,33.33333333333333
FR,2008-01-31,7,14,1811.0,9.0,1811.0,1803.8,1818.2,7,0,0.0,0.0,0.0,0.0,0.0,0,14,0,100.0,0.0
FR,2008-02-01,1,1,1243.0,0.0,1243.0,1243.0,1243.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
