country,date,active_players,rating_count,rating_mean,rating_std,rating_median,rating_p10,rating_p90,rating_players,accuracy_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_p10,accuracy_p90,accuracy_players,win_count,loss_count,win_percentage,loss_percentage
US,2007-07-23,5,5,1433.0,0.0,1433.0,1433.0,1433.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-07-24,5,10,1566.0,0.0,1566.0,1566.0,1566.0,5,0,0.0,0.0,0.0,0.0,0.0,0,10,0,100.0,0.0
US,2007-07-26,5,5,1639.0,0.0,1639.0,1639.0,1639.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-07-27,5,10,1710.0,11.0,1710.0,1701.2,1718.8,5,0,0.0,0.0,0.0,0.0,0.0,0,10,0,100.0,0.0
US,2007-08-01,5,5,1764.0,0.0,1764.0,1764.0,1764.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-02,5,5,1772.0,0.0,1772.0,1772.0,1772.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-03,5,10,1799.0,11.0,1799.0,1790.2,1807.8,5,0,0.0,0.0,0.0,0.0,0.0,0,10,0,100.0,0.0
US,2007-08-04,5,20,1770.75,15.270478054075452,1772.0,1754.0,1786.5,5,0,0.0,0.0,0.0,0.0,0.0,0,10,5,66.66666666666666,33.33333333333333
US,2007-08-06,5,5,1796.0,0.0,1796.0,1796.0,1796.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-09,4,4,1200.0,0.0,1200.0,1200.0,1200.0,4,0,0.0,0.0,0.0,0.0,0.0,0,4,0,100.0,0.0
US,2007-08-10,5,25,1835.8,15.58717421471897,1829.0,1820.0,1854.6,5,0,0.0,0.0,0.0,0.0,0.0,0,20,0,100.0,0.0
US,2007-08-11,5,5,1868.0,0.0,1868.0,1868.0,1868.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-13,5,5,1832.0,0.0,1832.0,1832.0,1832.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,100.0
US,2007-08-14,5,10,1841.0,5.0,1841.0,1837.0,1845.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-15,5,5,1855.0,0.0,1855.0,1855.0,1855.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-16,5,5,1872.0,0.0,1872.0,1872.0,1872.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-18,5,5,1896.0,0.0,1896.0,1896.0,1896.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-19,5,5,1906.0,0.0,1906.0,1906.0,1906.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-20,5,5,1919.0,0.0,1919.0,1919.0,1919.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-08-30,5,10,1968.0,14.0,1968.0,1956.8,1979.2,5,0,0.0,0.0,0.0,0.0,0.0,0,10,0,100.0,0.0
US,2007-08-31,5,5,2002.0,0.0,2002.0,2002.0,2002.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-09-06,5,5,1961.0,0.0,1961.0,1961.0,1961.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,100.0
US,2007-09-11,5,10,1994.0,12.0,1994.0,1984.4,2003.6,5,0,0.0,0.0,0.0,0.0,0.0,0,10,0,100.0,0.0
US,2007-09-12,5,5,2031.0,0.0,2031.0,2031.0,2031.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-09-14,5,5,2048.0,0.0,2048.0,2048.0,2048.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-09-17,5,5,2056.0,0.0,2056.0,2056.0,2056.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-09-18,5,5,2032.0,0.0,2032.0,2032.0,2032.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,100.0
US,2007-09-22,5,5,2014.0,0.0,2014.0,2014.0,2014.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,100.0
US,2007-09-23,5,5,1999.0,0.0,1999.0,1999.0,1999.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
US,2007-09-24,5,5,1998.0,0.0,1998.0,1998.0,1998.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
US,2007-09-26,5,5,1998.0,0.0,1998.0,1998.0,1998.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-09-27,5,5,1992.0,0.0,1992.0,1992.0,1992.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
US,2007-09-28,5,5,1992.0,0.0,1992.0,1992.0,1992.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-10-03,5,5,1983.0,0.0,1983.0,1983.0,1983.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
US,2007-10-07,5,5,1985.0,0.0,1985.0,1985.0,1985.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-10-09,5,5,1981.0,0.0,1981.0,1981.0,1981.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
US,2007-10-10,5,5,1967.0,0.0,1967.0,1967.0,1967.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,100.0
US,2007-10-21,1,1,1200.0,0.0,1200.0,1200.0,1200.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
US,2007-10-24,1,1,1377.0,0.0,1377.0,1377.0,1377.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
US,2007-10-30,1,1,1449.0,0.0,1449.0,1449.0,1449.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
US,2007-10-31,1,1,1488.0,0.0,1488.0,1488.0,1488.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
US,2007-11-06,1,1,1488.0,0.0,1488.0,1488.0,1488.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,100.0
US,2007-11-19,5,5,1958.0,0.0,1958.0,1958.0,1958.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
US,2007-11-20,5,10,2018.5,15.5,2018.5,2006.1,2030.9,5,0,0.0,0.0,0.0,0.0,0.0,0,10,0,100.0,0.0
US,2007-11-25,5,5,2065.0,0.0,2065.0,2065.0,2065.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-12-02,5,5,2029.0,0.0,2029.0,2029.0,2029.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,100.0
US,2007-12-16,5,5,1990.0,0.0,1990.0,1990.0,1990.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,100.0
US,2007-12-17,5,5,2016.0,0.0,2016.0,2016.0,2016.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-12-23,5,5,2039.0,0.0,2039.0,2039.0,2039.0,5,0,0.0,0.0,0.0,0.0,0.0,0,5,0,100.0,0.0
US,2007-12-26,5,5,2031.0,0.0,2031.0,2031.0,2031.0,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
US,2007-12-27,1,1,1438.0,0.0,1438.0,1438.0,1438.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
US,2007-12-29,1,1,1438.0,0.0,1438.0,1438.0,1438.0,1,0,0.0,0.0,0.0,0.0,0.0,0,1,0,100.0,0.0
US,2007-12-31,13,29,1512.5862068965523,0.0,1989.0,1989.0,1989.0,13,0,0.0,0.0,0.0,0.0,0.0,0,24,5,82.75862068965517,17.24137931034483
US,2008-01-04,13,29,1613.6551724137928,0.0,1956.0,1956.0,1956.0,13,0,0.0,0.0,0.0,0.0,0.0,0,16,13,55.172413793103445,44.827586206896555
